This file contains the adiabatic coefficient (kappa, delad), heat capacity and entropy per unit mass for a water, hydrogen and helium mixture, pre-tabulated for temperature and pressure. This file can be used in HELIOS.
temp.[K]  press.[1e-6bar]  delad           c_p[erg mol^-1 K^-1]    log_S[log10(erg g^-1 K^-1)]   
89.5973   7.455611e-01     2.492444e-01    3.335846e+08            8.107707e+00                  
89.5973   8.701564e-01     2.492441e-01    3.335852e+08            8.105283e+00                  
89.5973   1.015574e+00     2.492438e-01    3.335860e+08            8.102846e+00                  
89.5973   1.185292e+00     2.492434e-01    3.335868e+08            8.100395e+00                  
89.5973   1.383374e+00     2.492430e-01    3.335878e+08            8.097930e+00                  
89.5973   1.614558e+00     2.492424e-01    3.335890e+08            8.095450e+00                  
89.5973   1.884377e+00     2.492418e-01    3.335904e+08            8.092957e+00                  
89.5973   2.199287e+00     2.492411e-01    3.335921e+08            8.090449e+00                  
89.5973   2.566823e+00     2.492402e-01    3.335940e+08            8.087927e+00                  
89.5973   2.995781e+00     2.492392e-01    3.335963e+08            8.085389e+00                  
89.5973   3.496425e+00     2.492379e-01    3.335991e+08            8.082837e+00                  
89.5973   4.080734e+00     2.492363e-01    3.336025e+08            8.080270e+00                  
89.5973   4.762690e+00     2.492344e-01    3.336066e+08            8.077688e+00                  
89.5973   5.558613e+00     2.492320e-01    3.336117e+08            8.075090e+00                  
89.5973   6.487547e+00     2.490501e-01    3.338489e+08            8.078612e+00                  
89.5973   7.571721e+00     2.490492e-01    3.338511e+08            8.076020e+00                  
89.5973   8.837079e+00     2.490481e-01    3.338537e+08            8.073412e+00                  
89.5973   1.031390e+01     2.490468e-01    3.338567e+08            8.070788e+00                  
89.5973   1.203752e+01     2.490453e-01    3.338602e+08            8.068148e+00                  
89.5973   1.404918e+01     2.490435e-01    3.338643e+08            8.065493e+00                  
89.5973   1.639703e+01     2.490414e-01    3.338692e+08            8.062820e+00                  
89.5973   1.913724e+01     2.490388e-01    3.338751e+08            8.060132e+00                  
89.5973   2.233538e+01     2.490358e-01    3.338820e+08            8.057426e+00                  
89.5973   2.606798e+01     2.490321e-01    3.338904e+08            8.054704e+00                  
89.5973   3.042436e+01     2.490276e-01    3.339005e+08            8.051964e+00                  
89.5973   3.550877e+01     2.490219e-01    3.339130e+08            8.049207e+00                  
89.5973   4.144285e+01     2.490148e-01    3.339286e+08            8.046432e+00                  
89.5973   4.836863e+01     2.490055e-01    3.339483e+08            8.043640e+00                  
89.5973   5.645181e+01     2.489933e-01    3.339738e+08            8.040829e+00                  
89.5973   6.588582e+01     2.489767e-01    3.340075e+08            8.038000e+00                  
89.5973   7.689641e+01     2.487475e-01    3.342807e+08            8.041289e+00                  
89.5973   8.974704e+01     2.487426e-01    3.342925e+08            8.038463e+00                  
89.5973   1.047452e+02     2.487368e-01    3.343066e+08            8.035619e+00                  
89.5973   1.222498e+02     2.487298e-01    3.343233e+08            8.032755e+00                  
89.5973   1.426798e+02     2.487214e-01    3.343433e+08            8.029873e+00                  
89.5973   1.665239e+02     2.487112e-01    3.343674e+08            8.026971e+00                  
89.5973   1.943527e+02     2.486985e-01    3.343967e+08            8.024050e+00                  
89.5973   2.268322e+02     2.486825e-01    3.344330e+08            8.021108e+00                  
89.5973   2.647395e+02     2.486621e-01    3.344785e+08            8.018147e+00                  
