"Synthetic/composite Extraterrestrial Spectrum by Chris Gueymard, May 2003"	
"Reference: C. Gueymard, ""THE SUN�S TOTAL AND SPECTRAL IRRADIANCE FOR SOLAR ENERGY APPLICATIONS AND SOLAR RADIATION MODELS"", submitted to Solar Energy, 2003."	
"1st column: wavelength (nm) in vacuum below 280 nm, in air above 280 nm"	
2nd column: irradiance (W/m2 nm)	
Number of wavelengths: 2460	
"Resolution: variable, approximately equal to spectral step"	
Total irradiance (solar constant)=1366.1 W/m2	
Wavelength (nm)	Irradiance W/(m2 nm)
1095	5.835E-01
1096	5.830E-01
1097	5.839E-01
1098	5.759E-01
1099	5.892E-01
1100	5.927E-01
1101	5.848E-01
1102	5.772E-01
1103	5.885E-01
1104	5.865E-01
1105	5.863E-01
1106	5.845E-01
1107	5.824E-01
1108	5.827E-01
1109	5.821E-01
1110	5.823E-01
1111	5.778E-01
1112	5.739E-01
1113	5.725E-01
1114	5.775E-01
1115	5.728E-01
1116	5.732E-01
1117	5.757E-01
1118	5.703E-01
1119	5.625E-01
1120	5.626E-01
1121	5.663E-01
1122	5.685E-01
1123	5.676E-01
1124	5.636E-01
1125	5.481E-01
1126	5.535E-01
1127	5.580E-01
1128	5.558E-01
1129	5.497E-01
1130	5.508E-01
1131	5.536E-01
1132	5.538E-01
1133	5.447E-01
1134	5.501E-01
1135	5.503E-01
1136	5.510E-01
1137	5.454E-01
1138	5.383E-01
1139	5.402E-01
1140	5.359E-01
1141	5.367E-01
1142	5.388E-01
1143	5.401E-01
1144	5.351E-01
1145	5.395E-01
1146	5.433E-01
1147	5.418E-01
1148	5.383E-01
1149	5.373E-01
1150	5.358E-01
1151	5.354E-01
1152	5.311E-01
1153	5.341E-01
1154	5.351E-01
1155	5.321E-01
1156	5.304E-01
1157	5.305E-01
1158	5.291E-01
1159	5.169E-01
1160	5.182E-01
1161	5.084E-01
1162	5.220E-01
1163	5.216E-01
1164	5.147E-01
1165	5.175E-01
1166	5.134E-01
1167	5.169E-01
1168	5.177E-01
1169	5.065E-01
1170	5.160E-01
1171	5.175E-01
1172	5.161E-01
1173	5.156E-01
1174	5.132E-01
1175	4.988E-01
1176	5.072E-01
1177	5.071E-01
1178	5.012E-01
1179	5.085E-01
1180	5.097E-01
1181	5.061E-01
1182	5.000E-01
1183	4.855E-01
1184	4.998E-01
1185	5.043E-01
1186	5.032E-01
1187	5.031E-01
1188	4.847E-01
1189	4.839E-01
1190	4.980E-01
1191	5.011E-01
1192	4.986E-01
1193	4.981E-01
1194	4.972E-01
1195	4.911E-01
1196	4.916E-01
1197	4.795E-01
1198	4.742E-01
